disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,declarationDate,fyDeclared
1099,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1098,0,0,1,0,1996-01-27T00:00:00.000Z,1996
1099,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1098,0,0,1,0,1996-01-27T00:00:00.000Z,1996
1099,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,0,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1100,0,1,1,0,1996-02-09T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1102,0,1,1,0,1996-02-11T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1101,0,0,1,0,1996-02-13T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1103,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1106,0,0,1,0,1996-03-13T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1106,0,0,1,0,1996-03-13T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1106,0,0,1,0,1996-03-13T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1108,0,1,0,0,1996-03-20T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1108,0,1,0,0,1996-03-20T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1104,0,1,1,0,1996-02-23T00:00:00.000Z,1996
1106,0,0,1,0,1996-03-13T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1105,0,0,1,0,1996-02-23T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1106,0,0,1,0,1996-03-13T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1106,0,0,1,0,1996-03-13T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1106,0,0,1,0,1996-03-13T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1108,0,1,0,0,1996-03-20T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1107,0,0,1,0,1996-03-19T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1110,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1110,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1110,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1111,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1111,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1110,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1111,0,1,0,0,1996-04-23T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1110,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1110,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1111,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1112,0,1,0,0,1996-05-06T00:00:00.000Z,1996
1109,0,0,1,0,1996-04-02T00:00:00.000Z,1996
1110,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1111,0,1,1,0,1996-04-23T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1114,0,0,1,0,1996-05-20T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1113,0,0,1,0,1996-05-16T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1113,0,0,1,0,1996-05-16T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1113,0,0,1,0,1996-05-16T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1114,0,0,1,0,1996-05-20T00:00:00.000Z,1996
1114,0,0,1,0,1996-05-20T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1113,0,0,1,0,1996-05-16T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1113,0,0,1,0,1996-05-16T00:00:00.000Z,1996
1112,0,1,1,0,1996-05-06T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1112,0,1,0,0,1996-05-06T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1114,0,0,1,0,1996-05-20T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1114,0,0,1,0,1996-05-20T00:00:00.000Z,1996
1113,0,0,1,0,1996-05-16T00:00:00.000Z,1996
1115,0,1,0,0,1996-05-23T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1111,0,1,0,0,1996-04-23T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1112,0,0,1,0,1996-05-06T00:00:00.000Z,1996
1115,0,1,1,0,1996-05-23T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1118,0,0,1,0,1996-06-05T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1116,0,0,1,0,1996-06-01T00:00:00.000Z,1996
1117,0,0,1,1,1996-06-01T00:00:00.000Z,1996
