disasterNumber,disasterType,incidentType,title,hash
150,DR,Flood,SEVERE STORMS & FLOODING,15bcea12c4cd0d93a279fa6266b63294
175,DR,Hurricane,HURRICANE CLEO,e31f35f6d106a6f1ac5f9458f33ce44e
183,DR,Flood,HEAVY RAINS & FLOODING,ce7cac397f4c290e14452057a31aa7bf
123,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",f5a0e6b6cd0b1628fb0b0f870bc2a08f
129,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",e171c8f1bb561bca849b83e8b89a27c3
130,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",68f93c42f5aa1a676bc8d6374e39cecd
154,DR,Typhoon,TYPHOON OLIVE,8e5c8e3766aca3ad901ca6147eb0b15c
155,DR,Flood,HEAVY RAINS & FLOODING,a73ca2b39e17ee9a338d99c735303306
179,DR,Flood,SEVERE STORMS & FLOODING,5b4cbfc7363acf06a87aab2e87dd697b
180,DR,Flood,FLOODING,cc0dcdaad32673ce3a112717e6e4a02f
128,DR,Flood,FLOODS,499c486cb5eb5975456e66e8562464e9
109,DR,Flood,FLOODS,3b5d73b2ce6dfb2c62c2aa0a1bad71a2
135,DR,Toxic Substances,CHLORINE BARGE ACCIDENT,502c79776b9f82822032f1bd5af9794c
134,DR,Flood,FLOODS,09ce7a3c75a7af804c068102afa9695c
160,DR,Drought,DROUGHT & IMPENDING FREEZE,93e68302dcd8f49a00a2fbac94c5d597
159,DR,Hurricane,HURRICANE CINDY,5705b9e6248f3ff1e31ad005d0306a27
183,DR,Flood,HEAVY RAINS & FLOODING,c0799955c8e3dc31e9001e98d0de82c8
114,DR,Flood,FLOODS,6555571ea6af4f5eb2d2003ab4ecae16
149,DR,Flood,FLOODS,d961fef7a2d57313564238a35f6797c1
174,DR,Flood,SEVERE STORMS & FLOODING,8ea467c3ae3fe31b701a9388238a6df8
139,DR,Toxic Substances,CHLORINE BARGE ACCIDENT,99331c1eeecf25030488de3ca39764af
164,DR,Flood,FLOODING,a68803bc2299340996355ccbee38270b
143,DR,Flood,FLOODS,a5a28471afc0560e379857ad25aa7e22
168,DR,Earthquake,EARTHQUAKE,5d60d9459538c30df8c01736a31c6a77
183,DR,Flood,HEAVY RAINS & FLOODING,ca0f9a1289962dc22498da62dedd4629
183,DR,Flood,HEAVY RAINS & FLOODING,e0b64f7a4560fc0b25abfd26172a071c
127,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",3eb4de5c5e5ca3afa87221b7e1987a38
152,DR,Flood,HEAVY RAINS & FLOODING,2f23cd3a2bc9c9e9d8a00c8ae6f049f8
177,DR,Hurricane,HURRICANE DORA,ceb0ae0e918cc0d4ae9f791e93e7e494
107,DR,Hurricane,HURRICANE DONNA,ecdef6639eb47893ec9acb4879bcad71
131,DR,Flood,FLOODS,9b824b7a9388939d120539e0f7245763
156,DR,Flood,HEAVY RAINS & FLOODING,863db282b833f9e827825080f3531510
181,DR,Typhoon,TYPHOON LOUISE,a5562482f3760d99592870e58ad3f0d2
133,DR,Flood,FLOODS,6953c8c4f06e532474cd5eb67c3d31ef
158,DR,Flood,HEAVY RAINS & FLOODING,2921e61c0ae153710ff3d523bf624270
183,DR,Flood,HEAVY RAINS & FLOODING,29e57141240fb17aea9b385fd019aec8
183,DR,Flood,HEAVY RAINS & FLOODING,ff33fc3f7c36c0ad594c993ac21778c3
117,DR,Flood,FLOODS,40b67d0140e106b068a280e9fa4b22bb
142,DR,Flood,FLOODS,9dc8a85c4e4cee05d10dbeee0ba53e1f
167,DR,Flood,SEVERE STORMS & FLOODING,7da07229fc68971061952339d4629383
183,DR,Flood,HEAVY RAINS & FLOODING,83b10e9b8542d3180e540636f7ea7d28
121,DR,Flood,FLOODS,ddbb5e8e5473470c35638d1c8361479c
146,DR,Flood,FLOODS,a368f5b21dbef3c7dc41c2c4735cea92
171,DR,Drought,EXTREME DROUGHT CONDITIONS,2e78dcd979630349bb6857e03f1cc219
183,DR,Flood,HEAVY RAINS & FLOODING,bd0c7196087c3e50910412ccc7a322cf
148,DR,Flood,SEVERE STORMS & FLOODING,a14fe1d75cbdf6e659a5f59bcb9e21da
173,DR,Flood,SEVERE STORMS & FLOODING,79f2a2d561536358f7e56265cdee530b
183,DR,Flood,HEAVY RAINS & FLOODING,9371e7fdc4b1fcc6a61d9aa95a99ccb4
105,DR,Fire,FIRES,8a6329e14a0f1c63df8e12cdfe495982
132,DR,Flood,FLOODS & TORNADOES,57588ad6f9f50e7b6ef3b537ba5b0b3a
157,DR,Flood,HEAVY RAINS & FLOODING,dadbb26652c6a25716e5d65b5ecc0cc0
182,DR,Snow,SEVERE WINTER STORM,6982847beed0b7e9942193f7e862802e
111,DR,Flood,FLOODS,0e78756959d6597d90bd3a15d9d4c156
136,DR,Severe Storm(s),SEVERE STORMS,774932147f3b94a98393907bd966e06c
161,DR,Dam/Levee Break,FLOOD DUE TO BROKEN DAM,8d2efa5c8d5d9cc4bc8dbbd71364761f
183,DR,Flood,HEAVY RAINS & FLOODING,def17c7d49b88e19daf90f75ec8275cd
153,DR,Typhoon,TYPHOON OLIVE,4a9950ce2f43352f1d16250f7cc80ed6
178,DR,Hurricane,HURRICANE HILDA,5bbcd7caae714a46dcf5fe58bac1f828
183,DR,Flood,HEAVY RAINS & FLOODING,36f448bc61f471302f975eba5a414199
112,DR,Flood,FLOODS & TORNADOES,b2f7f3f660042dcc8138f8305d93e8ef
137,DR,Severe Storm(s),SEVERE STORMS,7d2a2b7d6d4ad94a9de072ad3f83e033
162,DR,Flood,SEVERE STORMS & FLOODING,0e7252e5942ab604036f53da6cb00b61
183,DR,Flood,HEAVY RAINS & FLOODING,de68c3380fdcc47a531e800630480875
116,DR,Flood,FLOODS,c9e51e349a547ba3c96947a989595478
141,DR,Flood,ABNORMALLY HIGH TIDES,e7ddb3fb5163776e61bce95aedf9df43
166,DR,Flood,SEVERE STORMS & FLOODING,888ade0762f013f5e0287aa913274908
183,DR,Flood,HEAVY RAINS & FLOODING,07f4bd6effce9dbbb612869bf3ed23a2
138,DR,Flood,SEVERE STORMS & FLOODING,77f547bfbf5c1a2207f3118bf59b175b
163,DR,Flood,SEVERE STORMS & FLOODING,e6daab6c10be525d4884483cebbb6a0b
183,DR,Flood,HEAVY RAINS & FLOODING,831f93e931482ccd7d53aa64acc1d344
183,DR,Flood,HEAVY RAINS & FLOODING,d371da5a6922663343713c7062919cd2
122,DR,Flood,FLOODS,c08675247ffddc2410356177a83bbf8d
147,DR,Flood,SEVERE STORMS & FLOODING,ef811c067a7244bb38c68cc6046585b9
172,DR,Flood,HEAVY RAINS & FLOODING,8b11f1767e82eec672cf8477094de977
183,DR,Flood,HEAVY RAINS & FLOODING,5b02e48aa725c79dc94b6de8f33ae933
126,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",e75d13b9025dc4cf1015f85fdb2f2191
151,DR,Flood,SEVERE STORMS & FLOODING,670eccae82b77aae393d8a51f8f62f7d
176,DR,Hurricane,HURRICANE DORA,9e4935ad580b47251327d171c4cc5d3c
183,DR,Flood,HEAVY RAINS & FLOODING,a6ae914df28b8a5c8d7278a41f9ab167
183,DR,Flood,HEAVY RAINS & FLOODING,b951da2859f789df53688cc3d50408d2
184,DR,Flood,HEAVY RAINS & FLOODING,66c441b9854be54ecebfd721194f7b92
184,DR,Flood,HEAVY RAINS & FLOODING,bb0d219bd0201a34d18dca20b5fe45fb
184,DR,Flood,HEAVY RAINS & FLOODING,b601e03eef0c4616556fa8a5d5af62d8
184,DR,Flood,HEAVY RAINS & FLOODING,b9b6ffa2ca11dfca0cdf249044e4fb53
184,DR,Flood,HEAVY RAINS & FLOODING,6cd058f90b92292a80b2291ba552d0f9
184,DR,Flood,HEAVY RAINS & FLOODING,137ea302b3167276e842b7265706da55
183,DR,Flood,HEAVY RAINS & FLOODING,4d6e41070481cbf679dcfaca186ae22f
183,DR,Flood,HEAVY RAINS & FLOODING,42b4f4fedb60e974661eb882fe500447
183,DR,Flood,HEAVY RAINS & FLOODING,27f1cc0bc35e71371a7a12423ea1208f
183,DR,Flood,HEAVY RAINS & FLOODING,b2cf843ee7b872bed2e02de31faea409
184,DR,Flood,HEAVY RAINS & FLOODING,4cbe591330e5c244ea7d3c3736eebf33
184,DR,Flood,HEAVY RAINS & FLOODING,9e30855bc54fb13934a874b1c811033e
184,DR,Flood,HEAVY RAINS & FLOODING,0befcfcf6bc8a01140d74145d59fbb3b
185,DR,Flood,HEAVY RAINS & FLOODING,88e94262e618ac77c1423945c7122497
185,DR,Flood,HEAVY RAINS & FLOODING,8273441fca9f4725b5c88ebbb1e5bc4a
186,DR,Flood,HEAVY RAINS & FLOODING,6b0f7ed337e33b11284a6fbbfbe76e01
185,DR,Flood,HEAVY RAINS & FLOODING,daab52dccdf67a2391d03d61ca02e7e5
184,DR,Flood,HEAVY RAINS & FLOODING,fc9253d5ceb8f2bee3fead3a4af3409e
186,DR,Flood,HEAVY RAINS & FLOODING,fd7abbc4db2f04ab87237bb597b9ccf3
185,DR,Flood,HEAVY RAINS & FLOODING,55a66c1527a82b43c0a52f00c78b3dae
184,DR,Flood,HEAVY RAINS & FLOODING,ffa40d5dd3c6fb7d0ceaa8517c8ebe17
186,DR,Flood,HEAVY RAINS & FLOODING,94825e75c4f97895b23448c3c90fa4ee
184,DR,Flood,HEAVY RAINS & FLOODING,e201dcf1b3ccc3b9d9a60acc45220caf
185,DR,Flood,HEAVY RAINS & FLOODING,e51df1bc9e54d30cf7abf5a64ada25e3
184,DR,Flood,HEAVY RAINS & FLOODING,6f86b77ef566a93fe390937685cc5c4a
183,DR,Flood,HEAVY RAINS & FLOODING,65223caa9f8d15a52095919f5ea58676
184,DR,Flood,HEAVY RAINS & FLOODING,c35fdba97b4e213d7d989406ee83b10c
184,DR,Flood,HEAVY RAINS & FLOODING,99fb69dd9418ef83ea6e2ad1afdecd0a
185,DR,Flood,HEAVY RAINS & FLOODING,5b32295f8b82528fc0caadfec63c78a5
184,DR,Flood,HEAVY RAINS & FLOODING,2a62367cc2357d2ffcae25a53396d697
186,DR,Flood,HEAVY RAINS & FLOODING,c0e747202bb3480a2e119a23a2451e52
184,DR,Flood,HEAVY RAINS & FLOODING,663389df172b8ed1ac7444285e92b732
186,DR,Flood,HEAVY RAINS & FLOODING,53f308886f43e997b938a836e8b3b037
184,DR,Flood,HEAVY RAINS & FLOODING,e6a9da7e0b3ee65ebadb4d457fef87ac
184,DR,Flood,HEAVY RAINS & FLOODING,3940061640dffdeb00f53cfdd46969bb
185,DR,Flood,HEAVY RAINS & FLOODING,8365e7fc87c8819fe9ad0bb3e07a24d4
185,DR,Flood,HEAVY RAINS & FLOODING,88fde6190d5e8625578da04ebcd813db
183,DR,Flood,HEAVY RAINS & FLOODING,ee20f4373e8627a96f5d92b6df18226a
184,DR,Flood,HEAVY RAINS & FLOODING,7655600e595f584192445c08fb602a04
185,DR,Flood,HEAVY RAINS & FLOODING,83b0f3d5f5b89f2fdcfbcee80c05c930
186,DR,Flood,HEAVY RAINS & FLOODING,6cf35f2ebf342c7674aded1f581c3eb5
184,DR,Flood,HEAVY RAINS & FLOODING,4d5b9078c86cd890c4726315e6a5ef76
184,DR,Flood,HEAVY RAINS & FLOODING,46fea893d877dc0dc9108a88f2e77fd8
185,DR,Flood,HEAVY RAINS & FLOODING,4148e8ea0051183045281a7a2fe96c29
183,DR,Flood,HEAVY RAINS & FLOODING,6003a4bff0998b394486e83761bbab39
184,DR,Flood,HEAVY RAINS & FLOODING,16097b1525036efe39491977630c79d2
185,DR,Flood,HEAVY RAINS & FLOODING,ffc0252e1f1b569a8fe19998478f68ab
186,DR,Flood,HEAVY RAINS & FLOODING,422369d24a88f6dd38489cbe51623c10
184,DR,Flood,HEAVY RAINS & FLOODING,4f16802e1591f8b60515fba9c3256e8d
185,DR,Flood,HEAVY RAINS & FLOODING,c9e09c2345106d366cf6e42f4dca56c6
186,DR,Flood,HEAVY RAINS & FLOODING,e28a0a77ac8e1102c28bfa5113e7aa59
185,DR,Flood,HEAVY RAINS & FLOODING,e28eb8747134f0777c38a21e8d3f1ffb
186,DR,Flood,HEAVY RAINS & FLOODING,405f1130cb5cb6d3d7cf083f12e69468
