disasterNumber,state,declaredCountyArea,placeCode
1435,LA,East Baton Rouge (Parish),99033.0
1437,LA,Catahoula (Parish),99025.0
1436,MS,Stone (County),99131.0
1437,LA,Ouachita (Parish),99073.0
1437,LA,St. Martin (Parish),99099.0
1435,LA,Jefferson (Parish),99051.0
1435,LA,St. Tammany (Parish),99103.0
1437,LA,Allen (Parish),99003.0
1437,LA,East Feliciana (Parish),99037.0
1437,LA,Pointe Coupee (Parish),99077.0
1437,LA,St. Tammany (Parish),99103.0
1435,LA,Orleans (Parish),99071.0
1436,MS,Amite (County),99005.0
1437,LA,Avoyelles (Parish),99009.0
1437,LA,Iberia (Parish),99045.0
1437,LA,St. Charles (Parish),99089.0
1434,TX,La Salle (County),99283.0
1435,LA,St. Bernard (Parish),99087.0
1436,MS,George (County),99039.0
1437,LA,Calcasieu (Parish),99019.0
1437,LA,Jefferson (Parish),99051.0
1437,LA,St. James (Parish),99093.0
1434,TX,Nueces (County),99355.0
1436,MS,Harrison (County),99047.0
1437,LA,Lafayette (Parish),99055.0
1434,TX,Webb (County),99479.0
1436,MS,Lincoln (County),99085.0
1437,LA,Livingston (Parish),99063.0
1437,LA,Washington (Parish),99117.0
1439,TX,Aransas (County),99007.0
1438,AL,Mobile (County),99097.0
1437,LA,Vernon (Parish),99115.0
1439,TX,Harris (County),99201.0
1439,TX,Hardin (County),99199.0
1439,TX,Brazoria (County),99039.0
1437,LA,West Baton Rouge (Parish),99121.0
1439,TX,Hidalgo (County),99215.0
1439,TX,Fort Bend (County),99157.0
1437,LA,Vermilion (Parish),99113.0
1438,AL,Baldwin (County),99003.0
1439,TX,San Jacinto (County),99407.0
1439,TX,Kleberg (County),99273.0
1441,TN,Rutherford (County),99149.0
1441,TN,Marshall (County),99117.0
1440,AK,Matanuska-Susitna (Borough),99170.0
1437,LA,West Feliciana (Parish),99125.0
1441,TN,Warren (County),99177.0
1441,TN,Cumberland (County),99035.0
1437,LA,Terrebonne (Parish),99109.0
1441,TN,Bedford (County),99003.0
1442,AL,Cherokee (County),99019.0
1442,AL,Etowah (County),99055.0
1442,AL,Henry (County),99067.0
1439,TX,Jim Wells (County),99249.0
1439,TX,Orange (County),99361.0
1441,TN,Madison (County),99113.0
1441,TN,Roane (County),99145.0
1442,AL,Hale (County),99065.0
1442,AL,Lawrence (County),99079.0
1440,AK,Southeast Fairbanks (Census Area),99240.0
1441,TN,Bledsoe (County),99007.0
1442,AL,Barbour (County),99005.0
1442,AL,Cleburne (County),99029.0
1442,AL,Talladega (County),99121.0
1439,TX,Jefferson (County),99245.0
1441,TN,Coffee (County),99031.0
1441,TN,Henderson (County),99077.0
1442,AL,Dale (County),99045.0
1442,AL,Greene (County),99063.0
1439,TX,Cameron (County),99061.0
1441,TN,Crockett (County),99033.0
1442,AL,DeKalb (County),99049.0
1439,TX,San Patricio (County),99409.0
1441,TN,Scott (County),99151.0
1442,AL,Marshall (County),99095.0
1440,AK,Yukon-Koyukuk (Census Area),99290.0
1442,AL,Blount (County),99009.0
1442,AL,St. Clair (County),99115.0
1442,AL,Marion (County),99093.0
1441,TN,Anderson (County),99001.0
1440,AK,Fairbanks North Star (Borough),99090.0
1442,AL,Calhoun (County),99015.0
1441,TN,Van Buren (County),99175.0
1439,TX,Liberty (County),99291.0
1442,AL,Shelby (County),99117.0
1441,TN,Meigs (County),99121.0
1441,TN,Fentress (County),99049.0
1442,AL,Houston (County),99069.0
1442,AL,Fayette (County),99057.0
1440,AK,Denali (Borough),99068.0
1439,TX,Nueces (County),99355.0
1441,TN,Tipton (County),99167.0
1441,TN,Morgan (County),99129.0
1442,AL,Pickens (County),99107.0
1442,AL,Lamar (County),99075.0
1439,TX,Montgomery (County),99339.0
1439,TX,Jasper (County),99241.0
1441,TN,Montgomery (County),99125.0
1441,TN,Gibson (County),99053.0
1442,AL,Jefferson (County),99073.0
1442,AL,Franklin (County),99059.0
1441,TN,Carroll (County),99017.0
1439,TX,Walker (County),99471.0
1442,AL,Cullman (County),99043.0
1441,TN,Sumner (County),99165.0
1442,AL,Morgan (County),99103.0
1440,AK,Valdez-Cordova (Census Area),99261.0
1442,AL,Bibb (County),99007.0
1443,MS,Oktibbeha (County),99105.0
1444,OH,Ashland (County),99005.0
1444,OH,Coshocton (County),99031.0
1443,MS,Clay (County),99025.0
1443,MS,Lafayette (County),99071.0
1444,OH,Franklin (County),99049.0
1443,MS,Monroe (County),99095.0
1442,AL,Winston (County),99133.0
1444,OH,Hancock (County),99063.0
1442,AL,Walker (County),99127.0
1443,MS,Noxubee (County),99103.0
1444,OH,Cuyahoga (County),99035.0
1444,OH,Lorain (County),99093.0
1444,OH,Sandusky (County),99143.0
1448,NC,Alamance (County),99001.0
1448,NC,Caldwell (County),99027.0
1444,OH,Auglaize (County),99011.0
1444,OH,Medina (County),99103.0
1446,GU,Guam (County-equivalent),99010.0
1448,NC,Alexander (County),99003.0
1448,NC,Granville (County),99077.0
1448,NC,Johnston (County),99101.0
1448,NC,Rutherford (County),99161.0
1448,NC,Warren (County),99185.0
1445,AK,Chignik Lagoon (ANV/ANVSA),13675.0
1447,MP,Rota (Municipality),99100.0
1448,NC,Edgecombe (County),99065.0
1448,NC,Guilford (County),99081.0
1444,OH,Wayne (County),99169.0
1442,AL,Tuscaloosa (County),99125.0
1444,OH,Seneca (County),99147.0
1448,NC,Catawba (County),99035.0
1448,NC,Montgomery (County),99123.0
1444,OH,Ottawa (County),99123.0
1445,AK,Kodiak Island (Borough),99150.0
1448,NC,Anson (County),99007.0
1443,MS,Lowndes (County),99087.0
1448,NC,Lee (County),99105.0
1444,OH,Wood (County),99173.0
1448,NC,Durham (County),99063.0
1448,NC,Person (County),99145.0
1444,OH,Summit (County),99153.0
1448,NC,Chatham (County),99037.0
1448,NC,Gaston (County),99071.0
1448,NC,Davie (County),99059.0
1448,NC,Wake (County),99183.0
1448,NC,Iredell (County),99097.0
1447,MP,Saipan (Municipality),99110.0
1444,OH,Henry (County),99069.0
1448,NC,Lincoln (County),99109.0
1448,NC,Burke (County),99023.0
1448,NC,Moore (County),99125.0
1448,NC,Nash (County),99127.0
1444,OH,Putnam (County),99137.0
1448,NC,Polk (County),99149.0
1448,NC,Davidson (County),99057.0
1448,NC,Richmond (County),99153.0
1448,NC,Mecklenburg (County),99119.0
1444,OH,Paulding (County),99125.0
1448,NC,Cleveland (County),99045.0
1448,NC,Randolph (County),99151.0
1448,NC,Stanly (County),99167.0
1448,NC,Orange (County),99135.0
1445,AK,Kenai Peninsula (Borough),99122.0
1444,OH,Union (County),99159.0
1448,NC,Harnett (County),99085.0
1448,NC,Forsyth (County),99067.0
1449,FM,Chuuk (County-equivalent),99002.0
1448,NC,Union (County),99179.0
1444,OH,Van Wert (County),99161.0
1448,NC,Wayne (County),99191.0
1447,MP,Tinian (Municipality),99120.0
1448,NC,Rowan (County),99159.0
1448,NC,McDowell (County),99111.0
1445,AK,Chignik Lake (ANV/ANVSA),13785.0
1448,NC,Halifax (County),99083.0
1448,NC,Wilson (County),99195.0
1444,OH,Huron (County),99077.0
1448,NC,Cabarrus (County),99025.0
1448,NC,Northampton (County),99131.0
1448,NC,Franklin (County),99069.0
1448,NC,Vance (County),99181.0
1450,AR,Independence (County),99063.0
1450,AR,Greene (County),99055.0
1450,AR,Poinsett (County),99111.0
1450,AR,Newton (County),99101.0
1450,AR,Van Buren (County),99141.0
1450,AR,Stone (County),99137.0
1450,AR,Clay (County),99021.0
1450,AR,Cleburne (County),99023.0
1450,AR,Izard (County),99065.0
1450,AR,Baxter (County),99005.0
1450,AR,Jackson (County),99067.0
1450,AR,Craighead (County),99031.0
1450,AR,Fulton (County),99049.0
1450,AR,Lawrence (County),99075.0
1451,SC,Spartanburg (County),99083.0
1453,OH,Darke (County),99037.0
1453,OH,Greene (County),99057.0
1452,OK,Caddo (County),99015.0
1452,OK,Roger Mills (County),99129.0
1453,OH,Lawrence (County),99087.0
1453,OH,Perry (County),99127.0
1452,OK,Logan (County),99083.0
1453,OH,Monroe (County),99111.0
1453,OH,Union (County),99159.0
1450,AR,Sharp (County),99135.0
1452,OK,Kiowa (County),99075.0
1452,OK,Blaine (County),99011.0
1453,OH,Miami (County),99109.0
1453,OH,Jackson (County),99079.0
1450,AR,Randolph (County),99121.0
1454,KY,Breckinridge (County),99027.0
1452,OK,Washita (County),99149.0
1454,KY,Bourbon (County),99017.0
1452,OK,Noble (County),99103.0
1452,OK,Payne (County),99119.0
1453,OH,Montgomery (County),99113.0
1453,OH,Noble (County),99121.0
